customer_id,customer_count
26079415,1
12521601,2
4593696,1
1468259,1
38173350,1
3953141,2
20598424,1
46625306,1
47160828,2
1337034,1
14231016,1
49785748,1
712525,1
35339694,1
8211293,1
41832251,1
9037272,1
52036002,1
49514578,1
22875949,1
18103556,1
23573304,2
25494099,1
11365485,1
50075147,2
295048,4
46351928,7
45115558,1
26872164,1
41369838,1
42190876,2
13669205,1
2128552,1
32831495,1
681559,1
50712554,1
936322,1
11487237,1
12703637,1
48209533,1
16619376,2
9443994,1
12284462,1
962224,1
1879146,1
34046489,1
14988646,1
12800594,1
3192026,1
1081895,1
1679005,1
1906416,1
11751929,1
46274425,1
1456279,1
14905657,1
20594530,1
2298046,1
18641214,2
1939507,2
11356691,1
51635384,1
22818422,1
14426101,1
35703603,1
2364267,1
3709666,1
6598057,1
43211006,1
23602964,1
24685827,1
43936368,1
1842822,1
15595379,1
21302198,1
40704006,1
36188719,1
5353954,1
37784381,1
22105346,1
872796,1
1427907,1
38766833,1
22193916,1
976714,1
46863467,1
22739641,1
44186565,1
17024702,1
2971714,1
20139969,1
527768,1
39025834,1
10610949,1
48148650,3
11516666,1
1059283,1
44779591,1
48214430,1
1922836,1
15399476,1
12511306,1
20945414,4
7071542,2
758549,1
42588740,1
38968625,1
1352260,1
1119806,1
20155438,1
1434848,1
11853846,1
6915976,2
7354745,1
44389526,1
18355404,1
33925709,1
13545011,2
44265131,1
15981728,1
28275351,1
9158250,1
44548084,1
18875180,1
14584973,1
32786256,2
20722175,1
50495727,1
41437786,2
25975774,1
8213600,2
16523756,1
50262506,2
33185883,1
1884284,1
10588478,1
6626787,1
44915660,1
38840460,1
2284245,1
47141738,1
44913203,1
11646226,4
7023024,1
2809779,1
1135211,1
39449017,3
971423,1
48221135,1
5199189,1
2224110,2
32685150,1
10384273,1
47916780,1
49479220,1
50042745,1
20016751,1
13631201,1
17028668,1
44730373,1
924093,1
10120765,1
1062158,1
946333,1
1821467,1
19165147,1
8104400,1
40115376,1
2863501,1
12533907,1
23302278,4
47533637,1
11179811,2
43241576,1
6621515,1
21340218,1
15070635,1
6399244,1
7455053,3
6825434,1
42968445,1
6892816,1
28515017,1
36868650,1
42019997,2
23943877,1
30660887,1
14682871,1
18847824,1
35114109,1
12078313,7
42209048,1
18878602,1
8298453,1
44348843,1
31331729,1
42594074,2
21198249,10
16701537,1
44911582,1
45481607,1
48673218,1
31612336,1
41913017,1
8736130,2
43457551,1
47631915,1
4700679,1
7664823,1
20423978,1
18988270,1
4155480,1
51385338,1
30561217,1
9347107,1
5119016,1
1759919,1
31012456,46
3375367,1
6864976,1
28665190,1
3286586,1
15100950,1
22586313,1
47597454,1
14531058,1
36225046,1
33078635,1
24584933,1
2099668,1
8129095,1
3660538,1
22458577,7
14799568,1
7628496,1
12735364,1
25366958,1
51238820,1
44118511,1
23028945,1
29987557,1
43899078,1
3315681,1
40267725,1
11490500,2
18584484,1
35337452,1
8508641,1
3080734,1
25654022,1
9997837,1
49388206,1
29658386,2
17369297,1
47885268,1
3803552,1
19856679,1
46882859,1
17481726,5
45584971,1
2335876,2
38467478,2
3399543,2
24170765,1
12513194,3
5863754,1
19703440,1
47728958,1
51318363,1
16973200,2
21063613,1
18182438,1
41661919,1
23747093,1
4093978,1
8838081,1
11856363,1
36804571,1
31223333,1
18562668,1
37456071,1
2194253,2
44127834,1
26101108,1
47711907,1
10280984,1
51719151,1
49508641,2
7933425,1
23652795,1
7820492,1
44787015,1
9079845,1
27905870,1
13490955,2
16049136,1
10122109,1
31669988,1
15018318,1
9404399,1
50685426,1
47564543,1
15190486,1
11151536,1
45196423,2
23320845,1
44555275,1
16959619,1
2373367,1
2184439,1
2330670,1
39555498,1
18494556,1
6003331,1
14125018,1
2603771,1
10337770,1
11136837,1
13541747,1
41716730,1
52991621,1
2741369,1
21281723,5
11300863,1
34322341,2
46138161,1
2604438,1
21150708,1
28187334,1
51494648,4
6710810,1
39257400,1
5341493,1
31304354,1
32415639,1
37613762,1
10454490,1
1389762,1
35821268,1
17171509,1
48489393,1
37032409,1
28358430,1
18600578,1
7088884,2
10595954,1
3867163,2
11272310,1
19006559,1
27539794,1
36653308,2
52525969,1
47279006,1
35980336,2
10200262,5
22055470,1
44028356,1
15109931,1
8345391,1
22708498,1
21353944,1
16455898,1
33313454,1
45544702,4
11907002,3
18999736,1
26558927,1
50697297,2
37374913,1
11093244,1
49195764,1
12284480,1
5158355,1
16017408,1
6568070,1
9051772,2
22914338,1
21920059,2
9684248,1
28748413,1
17548626,1
27126481,1
43202923,1
51466865,1
37168977,3
49397853,1
19081103,1
12067395,1
28042830,1
11098796,2
11364909,1
45562547,1
17962959,1
23609106,1
131389,1
17763411,2
12160854,1
20213591,1
35977209,1
17596899,1
41608103,1
20739034,1
46931494,2
34720554,1
5287514,2
1663997,2
5053742,4
20385868,1
2945151,1
6922321,1
3039536,1
7165911,1
42404813,1
20672412,1
246962,1
24735947,2
1759895,1
2708308,1
12241828,1
11289552,1
29687795,1
3647479,1
33136311,1
1706222,1
37039356,1
15913070,2
3326209,2
10495056,1
23297111,3
6797713,1
1285451,1
40887981,1
19628608,1
41100580,1
30991957,1
528782,1
34462252,1
30690018,2
875030,1
28690280,1
26733937,1
14584910,1
2854504,1
3234008,1
40207208,1
1611118,1
10768617,1
31097354,2
41289818,1
266104,2
42020533,1
3308601,3
22182254,1
49684437,2
45000952,1
341978,1
839080,1
26249798,1
32852677,1
2270938,1
25146575,1
10148387,1
4894018,1
2804293,2
37223760,1
383110,1
19273024,1
50751460,1
20969240,1
45390311,2
23365018,1
21761280,1
26311329,1
1508099,1
15724132,1
453366,1
51864397,1
1672443,1
45126471,1
32085059,1
2507040,1
1805686,1
2781466,1
17771146,1
41731380,3
14368186,1
3845553,1
47915865,5
51828109,1
2292444,1
8211162,1
27215938,2
12883442,1
11991451,1
10853293,1
650837,1
52981218,1
24847841,2
1663117,1
20022350,1
8663420,2
10025191,1
10575575,1
2627674,1
3685475,1
31922067,1
40610078,1
23134898,1
19012830,1
40296865,1
23629258,1
39246612,1
34623532,4
14867271,1
19474532,1
33430180,1
13410857,4
15346821,1
1906481,1
13467213,1
21716515,1
20376144,1
30088657,1
1357281,1
7014376,2
44931701,1
13224410,2
1161242,1
3481445,1
41902690,1
1062302,1
7314752,4
50618823,1
37846953,1
11941002,1
41027183,1
50195088,1
46323395,1
6346670,1
11755364,1
31606087,1
29249168,1
22303364,3
33176925,1
43453107,3
2292505,1
1173104,1
31709698,1
46759826,1
10609799,1
37847318,1
41935271,1
41348131,1
10459680,1
26649936,1
32383344,1
23057733,1
27930211,1
7387415,1
14942112,1
45757652,1
2020752,1
44891366,1
24938793,1
34668230,1
51639819,1
5920921,1
1014659,1
45281026,3
1026093,1
